EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
199,46.75,46.75,46.75,46.75,200
200,46.76,46.77,46.76,46.77,200
202,46.73,46.73,46.73,46.73,800
304,46.7,46.7,46.7,46.7,100
390,46.73,46.73,46.73,46.73,105
a1425565800,46.81,46.81,46.81,46.81,10103
14,46.93,46.93,46.93,46.93,100
45,47.02,47.02,47.02,47.02,200
62,47.04,47.04,47.04,47.04,200
78,47.04,47.04,47.04,47.04,100
95,47.02,47.02,47.02,47.02,200
111,46.95,46.95,46.95,46.95,200
127,46.94,46.94,46.94,46.94,200
144,46.94,46.94,46.94,46.94,200
155,46.941,46.941,46.941,46.941,150
160,46.94,46.94,46.94,46.94,200
176,46.94,46.94,46.94,46.94,200
207,46.87,46.87,46.87,46.87,200
222,46.87,46.87,46.87,46.87,200
237,46.88,46.88,46.88,46.88,200
253,46.89,46.89,46.89,46.89,100
258,46.96,46.96,46.96,46.96,100
268,46.99,46.99,46.99,46.99,200
274,47.06,47.06,47.03,47.03,200
277,47.04,47.04,47.04,47.04,100
287,47.02,47.02,47.02,47.02,100
309,47.02,47.02,47.02,47.02,200
323,47.01,47.01,47.01,47.01,200
336,47.02,47.02,47.02,47.02,200
349,47.02,47.02,47.02,47.02,200
362,47.02,47.02,47.02,47.02,200
386,47,47.01,47,47.01,200
390,47,47,47,47,101
a1425652200,46.39,46.39,46.39,46.39,106
67,46.01,46.01,46.01,46.01,1000
137,45.75,45.75,45.75,45.75,700
200,45.73,45.73,45.73,45.73,100
271,45.71,45.71,45.71,45.71,100
321,45.64,45.64,45.63,45.63,300
324,45.66,45.66,45.65,45.65,200
336,45.72,45.72,45.72,45.72,100
374,45.54,45.54,45.53,45.53,2800
379,45.6,45.6,45.6,45.6,100
TIMEZONE_OFFSET=-240
a1425907800,45.7,45.7,45.7,45.7,1003
64,45.76,45.77,45.76,45.77,200
66,45.77,45.77,45.76,45.76,500
68,45.78,45.78,45.78,45.78,100
94,45.81,45.81,45.81,45.81,100
112,45.73,45.73,45.73,45.73,100
114,45.69,45.69,45.69,45.69,100
122,45.7,45.7,45.7,45.7,100
129,45.65,45.65,45.65,45.65,100
134,45.67,45.67,45.67,45.67,100
144,45.65,45.65,45.65,45.65,100
146,45.65,45.65,45.65,45.65,100
153,45.62,45.62,45.62,45.62,300
167,45.62,45.62,45.62,45.62,200
230,45.75,45.75,45.75,45.75,100
266,45.8,45.8,45.8,45.8,100
268,45.8,45.8,45.8,45.8,100
353,45.75,45.75,45.75,45.75,100
360,45.75,45.75,45.75,45.75,100
388,45.69,45.69,45.69,45.69,100
a1425994200,45.27,45.27,45.27,45.27,944
42,45.42,45.42,45.41,45.41,200
59,45.46,45.46,45.46,45.46,100
61,45.5,45.5,45.5,45.5,200
64,45.55,45.55,45.55,45.55,100
72,45.55,45.55,45.55,45.55,100
76,45.55,45.55,45.55,45.55,100
104,45.59,45.59,45.59,45.59,100
117,45.54,45.54,45.54,45.54,1000
212,45.29,45.3,45.29,45.3,200
382,45.24,45.24,45.24,45.24,100
386,45.23,45.23,45.23,45.23,1300
389,45.22,45.23,45.22,45.23,600
390,45.19,45.19,45.19,45.19,800
a1426080600,45.14,45.14,45.14,45.14,11111
6,45.24,45.24,45.22,45.23,1400
7,45.23,45.23,45.23,45.23,300
9,45.3,45.3,45.3,45.3,100
54,45.1,45.1,45.1,45.1,100
78,44.94,44.95,44.94,44.95,200
103,44.95,44.95,44.95,44.95,100
129,45.05,45.05,45.05,45.05,200
158,45.05,45.05,45.05,45.05,100
186,45.05,45.05,45.05,45.05,100
216,45.07,45.07,45.07,45.07,200
219,45.15,45.15,45.15,45.15,100
247,45.081,45.081,45.081,45.081,200
249,45.081,45.081,45.081,45.081,250
251,45.08,45.08,45.08,45.08,200
299,45.07,45.07,45.07,45.07,200
339,45.16,45.16,45.16,45.16,100
340,45.15,45.15,45.15,45.15,155
343,45.08,45.08,45.08,45.08,420
374,45.03,45.03,45.03,45.03,100
a1426167000,45.24,45.24,45.24,45.24,178
84,45.42,45.42,45.42,45.42,100
a1426253400,45.41,45.41,45.41,45.41,539
82,45.01,45.01,45.01,45.01,100
90,45,45,45,45,2500
139,44.8,44.8,44.8,44.8,100
140,44.77,44.77,44.77,44.77,600
189,44.97,44.97,44.97,44.97,300
263,45,45,45,45,100
278,45.02,45.02,45.02,45.02,800
282,44.98,44.98,44.98,44.98,100
286,44.96,44.96,44.96,44.96,100
308,44.94,44.94,44.94,44.94,100
360,44.94,44.94,44.94,44.94,100
373,45.03,45.03,45.03,45.03,100
390,45.05,45.05,45.05,45.05,1471
a1426512600,45.28,45.28,45.28,45.28,216
6,45.39,45.39,45.37,45.37,200
22,45.55,45.55,45.55,45.55,399
247,45.69,45.69,45.69,45.69,100
249,45.68,45.68,45.68,45.68,100
251,45.68,45.68,45.68,45.68,100
290,45.62,45.62,45.62,45.62,100
a1426599000,45.55,45.55,45.55,45.55,1334
5,45.75,45.75,45.75,45.75,100
24,45.7,45.7,45.7,45.7,100
79,45.78,45.78,45.77,45.77,1400
181,45.69,45.7,45.67,45.67,4200
182,45.69,45.69,45.69,45.69,2176
183,45.6,45.6,45.6,45.6,100
313,45.72,45.72,45.72,45.72,110
389,45.71,45.71,45.71,45.71,281
a1426685400,45.71,45.71,45.71,45.71,1155
13,45.62,45.62,45.62,45.62,100
39,45.99,45.99,45.99,45.99,600
43,46.03,46.03,46.03,46.03,1300
59,45.98,45.98,45.98,45.98,100
76,45.93,45.93,45.93,45.93,100
77,46.03,46.03,46.03,46.03,800
219,46.03,46.03,46.03,46.03,100
221,45.94,45.94,45.94,45.94,200
292,46.7,46.7,46.7,46.7,100
299,46.73,46.73,46.73,46.73,200
