EXCHANGE%3DNYSEARCA
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-300
325,31.82,31.82,31.82,31.82,100
327,31.81,31.81,31.81,31.81,100
328,31.84,31.84,31.83,31.83,200
330,31.86,31.86,31.85,31.85,400
333,31.85,31.85,31.85,31.85,300
383,31.98,31.98,31.98,31.98,1400
387,32.02,32.02,32.02,32.02,100
389,32.01,32.01,32.01,32.01,140
a1426512600,32.12,32.12,32.12,32.12,1746
22,32.19,32.19,32.19,32.19,100
242,32.24,32.24,32.24,32.24,3100
257,32.28,32.28,32.28,32.28,100
271,32.29,32.29,32.29,32.29,400
309,32.3,32.3,32.3,32.3,400
a1426599000,32.33,32.33,32.33,32.33,2899
7,32.32,32.32,32.32,32.32,100
10,32.32,32.32,32.32,32.32,100
61,32.3,32.3,32.3,32.3,100
193,32.35,32.35,32.35,32.35,200
227,32.42,32.42,32.42,32.42,100
371,32.45,32.45,32.45,32.45,800
372,32.43,32.43,32.43,32.43,500
389,32.39,32.39,32.39,32.39,105
390,32.4,32.4,32.4,32.4,100
a1426685400,32.35,32.35,32.35,32.35,4070
5,32.35,32.35,32.35,32.35,272
117,32.41,32.41,32.41,32.41,200
120,32.4,32.4,32.4,32.4,100
137,32.37,32.37,32.37,32.37,200
162,32.35,32.35,32.35,32.35,500
217,32.3,32.3,32.3,32.3,100
220,32.31,32.31,32.31,32.31,100
227,32.3,32.3,32.3,32.3,200
244,32.29,32.29,32.29,32.29,700
269,32.31,32.31,32.31,32.31,100
279,32.67,32.67,32.67,32.67,200
289,32.72,32.72,32.72,32.72,100
293,32.68,32.68,32.68,32.68,600
295,32.66,32.66,32.66,32.66,100
327,32.77,32.77,32.77,32.77,500
344,32.87,32.87,32.87,32.87,200
351,32.9,32.9,32.9,32.9,2500
352,32.91,32.91,32.91,32.91,100
371,32.81,32.81,32.81,32.81,300
390,32.8,32.8,32.79,32.79,200
a1426771800,32.87,32.87,32.75,32.75,5796
5,32.8,32.8,32.8,32.8,200
6,32.81,32.81,32.81,32.81,300
8,32.82,32.82,32.82,32.82,200
13,32.79,32.79,32.79,32.79,200
15,32.76,32.76,32.76,32.76,300
24,32.77,32.77,32.77,32.77,100
39,32.79,32.79,32.79,32.79,100
43,32.81,32.81,32.81,32.81,130
45,32.82,32.82,32.82,32.82,400
46,32.83,32.83,32.83,32.83,100
48,32.85,32.85,32.85,32.85,100
50,32.85,32.85,32.85,32.85,100
56,32.85,32.85,32.85,32.85,100
66,32.83,32.83,32.83,32.83,100
68,32.83,32.83,32.83,32.83,200
69,32.83,32.83,32.83,32.83,200
71,32.83,32.83,32.83,32.83,200
77,32.82,32.82,32.82,32.82,100
91,32.82,32.82,32.82,32.82,200
105,32.79,32.79,32.79,32.79,700
116,32.83,32.83,32.83,32.83,200
117,32.83,32.83,32.83,32.83,710
143,32.75,32.75,32.75,32.75,128
152,32.79,32.79,32.79,32.79,120
155,32.79,32.79,32.79,32.79,100
165,32.79,32.79,32.79,32.79,400
166,32.81,32.81,32.81,32.81,2400
167,32.81,32.81,32.81,32.81,600
185,32.79,32.79,32.79,32.79,100
196,32.78,32.78,32.78,32.78,1500
200,32.77,32.77,32.77,32.77,500
203,32.75,32.75,32.75,32.75,200
219,32.76,32.76,32.75,32.75,961
231,32.81,32.81,32.81,32.81,1000
232,32.82,32.82,32.82,32.82,1382
233,32.82,32.82,32.82,32.82,1300
249,32.81,32.81,32.81,32.81,1000
251,32.8,32.8,32.8,32.8,2500
268,32.77,32.77,32.77,32.77,932
286,32.81,32.81,32.81,32.81,800
301,32.81,32.81,32.81,32.81,1750
304,32.8,32.8,32.8,32.8,300
307,32.8,32.8,32.8,32.8,100
323,32.84,32.84,32.84,32.84,300
341,32.83,32.83,32.83,32.83,100
342,32.81,32.82,32.81,32.82,800
354,32.78,32.78,32.78,32.78,298
359,32.8,32.8,32.8,32.8,123
361,32.78,32.78,32.78,32.78,200
367,32.8,32.8,32.8,32.8,300
372,32.81,32.81,32.81,32.81,189
389,32.77,32.77,32.77,32.77,314
390,32.76,32.76,32.76,32.76,300
a1426858200,32.94,32.94,32.94,32.94,3356
6,32.849,32.849,32.849,32.849,100
12,32.85,32.85,32.85,32.85,100
14,32.82,32.82,32.82,32.82,305
66,32.89,32.89,32.89,32.89,300
88,32.9,32.9,32.899,32.899,341
103,32.91,32.91,32.91,32.91,200
141,32.93,32.93,32.93,32.93,700
158,32.94,32.94,32.94,32.94,100
180,32.92,32.92,32.92,32.92,100
186,32.92,32.92,32.92,32.92,100
206,32.97,32.97,32.97,32.97,900
208,32.97,32.97,32.97,32.97,294
213,32.98,32.98,32.98,32.98,600
223,32.97,32.98,32.97,32.98,300
224,32.98,32.98,32.98,32.98,1200
232,33,33,33,33,200
233,33,33,33,33,1477
237,33,33,33,33,800
247,33,33,33,33,600
248,33,33,33,33,100
253,33,33,33,33,991
259,33,33,33,33,100
265,32.99,32.99,32.99,32.99,100
270,32.99,32.99,32.99,32.99,300
271,32.99,32.99,32.99,32.99,100
272,33,33,33,33,100
273,33,33,33,33,100
277,32.99,32.99,32.99,32.99,1471
278,32.99,32.99,32.99,32.99,554
287,32.98,32.98,32.98,32.98,1800
288,32.98,32.98,32.98,32.98,152
295,32.97,32.97,32.97,32.97,400
296,32.97,32.97,32.97,32.97,859
308,32.98,32.98,32.98,32.98,957
314,32.98,32.98,32.98,32.98,155
315,32.98,32.98,32.98,32.98,2200
331,32.99,32.99,32.99,32.99,2186
333,32.99,32.99,32.99,32.99,314
334,32.99,32.99,32.99,32.99,400
340,32.98,32.98,32.98,32.98,1096
341,32.98,32.98,32.98,32.98,568
350,32.93,32.93,32.93,32.93,1000
352,32.91,32.91,32.91,32.91,600
355,32.91,32.91,32.91,32.91,2100
360,32.92,32.92,32.92,32.92,213
367,32.91,32.91,32.91,32.91,575
376,32.94,32.94,32.939,32.939,600
382,32.93,32.93,32.93,32.93,100
384,32.9,32.9,32.9,32.9,155
385,32.899,32.899,32.899,32.899,200
387,32.89,32.89,32.89,32.89,800
389,32.87,32.87,32.87,32.87,807
390,32.82,32.88,32.82,32.88,454
a1427117400,32.95,32.95,32.95,32.95,5123
6,32.9,32.9,32.9,32.9,317
9,32.91,32.91,32.91,32.91,1950
16,32.94,32.94,32.94,32.94,100
40,32.9,32.9,32.9,32.9,100
91,32.89,32.89,32.89,32.89,300
177,32.91,32.91,32.91,32.91,100
206,32.93,32.93,32.93,32.93,100
242,32.94,32.94,32.94,32.94,100
297,33.01,33.01,33.01,33.01,400
303,32.99,32.99,32.99,32.99,497
305,32.99,32.99,32.99,32.99,594
320,32.98,32.98,32.98,32.98,200
346,32.93,32.93,32.93,32.93,700
378,32.92,32.92,32.92,32.92,1200
382,32.91,32.91,32.91,32.91,100
a1427203800,32.91,32.91,32.91,32.91,2287
11,32.83,32.84,32.83,32.84,252
16,32.81,32.81,32.81,32.81,100
34,32.9,32.9,32.9,32.9,129
35,32.91,32.91,32.91,32.91,1618
67,32.92,32.92,32.92,32.92,261
129,32.96,32.96,32.96,32.96,200
144,32.96,32.96,32.96,32.96,3300
163,32.96,32.96,32.96,32.96,683
183,32.92,32.92,32.92,32.92,700
221,32.89,32.89,32.89,32.89,300
225,32.9,32.9,32.89,32.89,1500
271,32.86,32.86,32.86,32.86,400
276,32.83,32.83,32.83,32.83,210
296,32.81,32.81,32.81,32.81,2400
306,32.79,32.79,32.79,32.79,2300
311,32.8,32.8,32.8,32.8,158
315,32.81,32.81,32.81,32.81,700
333,32.85,32.85,32.85,32.85,310
351,32.84,32.84,32.84,32.84,400
352,32.81,32.81,32.81,32.81,200
353,32.8,32.8,32.8,32.8,299
365,32.82,32.82,32.82,32.82,2400
371,32.82,32.82,32.82,32.82,600
389,32.77,32.77,32.77,32.77,190
390,32.76,32.77,32.76,32.77,1667
a1427290200,32.81,32.81,32.81,32.81,1340
4,32.75,32.75,32.75,32.75,476
5,32.71,32.71,32.71,32.71,100
8,32.6,32.61,32.6,32.61,555
16,32.56,32.58,32.56,32.58,728
17,32.56,32.56,32.56,32.56,115
29,32.49,32.49,32.49,32.49,100
34,32.48,32.48,32.48,32.48,100
39,32.5,32.5,32.5,32.5,100
59,32.53,32.53,32.53,32.53,100
81,32.43,32.43,32.43,32.43,3300
110,32.4,32.4,32.4,32.4,100
122,32.33,32.33,32.33,32.33,100
134,32.19,32.19,32.19,32.19,100
143,32.2,32.2,32.2,32.2,100
148,32.17,32.17,32.17,32.17,100
150,32.18,32.18,32.18,32.18,100
159,32.19,32.19,32.19,32.19,100
176,32.08,32.08,32.08,32.08,120
177,32.11,32.11,32.11,32.11,100
204,32.11,32.11,32.11,32.11,100
217,32.13,32.13,32.13,32.13,100
222,32.1,32.1,32.1,32.1,290
248,32.07,32.07,32.07,32.07,100
266,32.13,32.13,32.13,32.13,297
307,32.08,32.08,32.08,32.08,1500
317,32.03,32.04,32.03,32.04,3107
321,32.07,32.07,32.07,32.07,100
330,32.08,32.08,32.08,32.08,200
331,32.04,32.05,32.04,32.05,600
338,32.01,32.01,32.01,32.01,100
341,32,32,32,32,100
355,31.99,31.99,31.99,31.99,100
357,31.97,31.97,31.97,31.97,200
363,31.94,31.94,31.94,31.94,100
378,31.9,31.9,31.9,31.9,200
379,31.91,31.91,31.9,31.9,200
382,31.87,31.88,31.87,31.88,4600
390,31.88,31.89,31.88,31.89,825
a1427376600,31.71,31.71,31.71,31.71,5356
1,31.7,31.7,31.7,31.7,440
2,31.59,31.6,31.59,31.6,200
5,31.55,31.55,31.55,31.55,100
10,31.62,31.62,31.62,31.62,200
22,31.8,31.8,31.8,31.8,3000
24,31.78,31.78,31.78,31.78,1000
28,31.7,31.7,31.7,31.7,970
31,31.66,31.67,31.66,31.66,4900
34,31.68,31.68,31.68,31.68,200
35,31.66,31.68,31.66,31.68,399
42,31.58,31.58,31.58,31.58,100
45,31.61,31.61,31.61,31.61,100
49,31.57,31.57,31.57,31.57,315
131,31.95,31.95,31.94,31.94,240
136,31.93,31.93,31.93,31.93,200
168,31.95,31.95,31.95,31.95,200
176,31.88,31.88,31.88,31.88,1500
210,31.94,31.94,31.94,31.94,300
225,31.89,31.89,31.89,31.89,300
284,31.93,31.94,31.93,31.94,300
300,31.93,31.93,31.93,31.93,700
350,31.89,31.89,31.89,31.89,300
368,31.96,31.96,31.96,31.96,200
389,31.9,31.9,31.9,31.9,100
390,31.9,31.9,31.9,31.9,150
